design,lambda_true,n_rep,mean_estimate,bias,coverage_95,mean_width
balanced,0.0,200,0.0095,0.0095,0.945,0.4524
balanced,0.3,200,0.3042,0.0042,0.945,0.4243
balanced,0.6,200,0.5965,-0.0035,0.95,0.3511
unbalanced 15% missing,0.0,200,-0.0121,-0.0121,0.935,0.4466
unbalanced 15% missing,0.3,200,0.2858,-0.0142,0.94,0.4205
unbalanced 15% missing,0.6,200,0.5846,-0.0154,0.94,0.3455
unbalanced 30% missing,0.0,200,-0.0029,-0.0029,0.925,0.4317
unbalanced 30% missing,0.3,200,0.2929,-0.0071,0.93,0.4033
unbalanced 30% missing,0.6,200,0.5896,-0.0104,0.93,0.3269
