,alpha_contig,alpha_alliance,alpha_trade,alpha_cultural
mean,0.23778901845216752,0.2610466703772545,0.2260638639330864,0.27510044127702715
std,0.012701059400605449,0.01028451568001128,0.014096549916342743,0.014412743801811146
min,0.22301839292049408,0.2468005120754242,0.21245357394218445,0.240902379155159
max,0.25838613510131836,0.2740091383457184,0.2563774883747101,0.2892210781574249
