k,prec_full,prec_novel,base_rate_full,base_rate_novel,lift_novel
5,1.0,1.0,0.34782608695652173,0.1743119266055046,5.7368421052631575
10,1.0,0.9,0.34782608695652173,0.1743119266055046,5.163157894736842
15,0.9333333333333333,0.8,0.34782608695652173,0.1743119266055046,4.589473684210526
20,0.9,0.75,0.34782608695652173,0.1743119266055046,4.302631578947368
25,0.88,0.68,0.34782608695652173,0.1743119266055046,3.9010526315789473
30,0.8333333333333334,0.5666666666666667,0.34782608695652173,0.1743119266055046,3.250877192982456
