K,cumulative_var,weighted_kappa,detection_rate,detections,csd_auc
3,0.525477251225319,0.6924097785054846,0.16326530612244897,8/49,0.5343060961686148
4,0.549629269011417,0.7151216248742465,0.14285714285714285,7/49,0.5390803624354306
5,0.5716566030117893,0.6834815865409711,0.12244897959183673,6/49,0.57640188712486
