lead_years,n_total,n_positive,auc_roc,auc_roc_ci_low,auc_roc_ci_high,auc_pr,auc_pr_ci_low,auc_pr_ci_high
1-5_pooled,736,35,0.9125331159567964,0.8158480048576636,0.9776284773186037,0.4028493343444188,0.2726666784383649,0.5636999438891639
1,717,16,0.9486447931526392,0.8977120732453144,0.9851229822122612,0.3741740143882224,0.2265488334225413,0.5575237724135467
2,709,8,0.9103067047075606,0.7651970622356441,0.9859387304161819,0.15973210190670614,0.07350092110777968,0.3551055083626437
3,707,6,0.8642415596766524,0.6962679570302568,0.9677202771902482,0.05853202951433165,0.02015671792685859,0.17239128337807477
4,706,5,0.8584878744650499,0.687463776758645,0.9820255375062034,0.06901295139921368,0.0129877040161547,0.22536562378297784
