origin,learner,country_name,y,p
2010,lr,Italy,0,0.10177517588058914
2010,lr,Jamaica,0,0.028459997548686885
2010,lr,Japan,0,0.06400502762202255
2010,lr,Liberia,0,0.8900044103639679
2010,lr,Lesotho,1,0.7079048406460349
2010,lr,Luxembourg,0,0.009870523326157066
2010,lr,Mexico,0,0.12195284038997836
2010,lr,Mongolia,0,0.6833635231313151
2010,lr,Mauritius,1,0.5133144873762727
2010,lr,Malawi,0,0.39557773282725106
2010,lr,Namibia,0,0.09400909703363398
2010,lr,Norway,0,0.0016214483713947031
2010,lr,Nepal,1,0.05164190263643586
2010,lr,Philippines,0,0.9442537370799751
2010,lr,Poland,0,0.11337808655844261
2010,lr,Portugal,0,0.05079872611734172
2010,lr,Paraguay,0,0.1622941106206586
2010,lr,Romania,0,0.015312051982750022
2010,lr,Senegal,0,0.026100731144813843
2010,lr,Sierra Leone,0,0.3966260691516195
2010,lr,Sweden,0,0.04718260001074951
2010,lr,Trinidad and Tobago,0,0.05484964900110129
2010,lr,United States of America,0,0.001951141252106725
2010,lr,South Africa,0,0.23038745836545252
2010,lr,Zambia,1,0.024373451271718572
2011,gb,Albania,0,0.10532953343855929
2011,gb,Argentina,0,0.002184447582200755
2011,gb,Australia,0,0.0005561652069187025
2011,gb,Belgium,0,0.0015558703755293554
2011,gb,Benin,0,0.004088343245232291
2011,gb,Burkina Faso,1,0.025314680754872834
2011,gb,Bulgaria,0,0.03925653404619425
2011,gb,Brazil,1,0.0018857666359245386
2011,gb,Bhutan,0,0.9572469130568283
2011,gb,Botswana,1,0.00383469209561369
2011,gb,Canada,0,0.0064718629832113935
2011,gb,Chile,0,0.0022365682370993917
2011,gb,Colombia,0,0.004059541004364521
2011,gb,Costa Rica,0,0.0014513274375448114
2011,gb,Cyprus,0,0.0013064229181005366
2011,gb,Germany,0,0.001610215932560193
2011,gb,Denmark,0,0.0005141022774299767
2011,gb,Spain,0,0.008814484803268276
2011,gb,Finland,0,0.0009730987610116958
2011,gb,France,0,0.0009830302358362576
2011,gb,United Kingdom,0,0.0040730467279237485
2011,gb,Ghana,1,0.0009731849969126811
2011,gb,Greece,0,0.0025082271428999363
2011,gb,Guyana,0,0.009879688830197962
2011,gb,Israel,0,0.00788887729529894
2011,gb,Italy,0,0.0013578959197683188
2011,gb,Jamaica,0,0.0006169136399708602
2011,gb,Japan,0,0.0676849010526993
2011,gb,Liberia,0,0.010955924022539311
2011,gb,Lesotho,1,0.2096048831979102
2011,gb,Luxembourg,0,0.0023559508682647152
2011,gb,Mexico,0,0.006256094095768685
2011,gb,Mongolia,1,0.021727722956374495
2011,gb,Mauritius,1,0.001286062960712213
2011,gb,Malawi,0,0.002885748059691605
2011,gb,Namibia,0,0.006930668577800117
2011,gb,Norway,0,0.0007231136782637727
2011,gb,Nepal,1,0.9705868622081575
2011,gb,Philippines,1,0.623042117000533
2011,gb,Poland,1,0.0012888759548163803
2011,gb,Portugal,0,0.000785602100313834
2011,gb,Paraguay,0,0.010043323401781148
2011,gb,Romania,0,0.0012866789117710613
2011,gb,Senegal,0,0.08273313279722529
2011,gb,Sierra Leone,0,0.0028149962048879974
2011,gb,Sweden,0,0.0016424133902665729
2011,gb,Trinidad and Tobago,0,0.0020685375908082383
2011,gb,United States of America,0,0.00350263893222565
2011,gb,South Africa,0,0.00448107717571911
2011,rf,Albania,0,0.4292603715728716
2011,rf,Argentina,0,0.16069983609385782
2011,rf,Australia,0,0.034760679271708686
2011,rf,Belgium,0,0.02640422077922078
2011,rf,Benin,0,0.18512345640470634
2011,rf,Burkina Faso,1,0.33703279049167206
2011,rf,Bulgaria,0,0.24732720532391578
2011,rf,Brazil,1,0.06461616161616161
2011,rf,Bhutan,0,0.42434783308796464
2011,rf,Botswana,1,0.1693012265512265
2011,rf,Canada,0,0.10318831168831168
2011,rf,Chile,0,0.0099375
2011,rf,Colombia,0,0.1780818663083562
2011,rf,Costa Rica,0,0.03491369047619047
2011,rf,Cyprus,0,0.06370995670995672
2011,rf,Germany,0,0.06974044486215539
2011,rf,Denmark,0,0.019625
2011,rf,Spain,0,0.09424360142781193
2011,rf,Finland,0,0.048859126984126984
2011,rf,France,0,0.09119507575757575
2011,rf,United Kingdom,0,0.16909605453026505
2011,rf,Ghana,1,0.04000892857142856
2011,rf,Greece,0,0.2677239578769183
2011,rf,Guyana,0,0.24452257117882115
2011,rf,Israel,0,0.25576675188846226
2011,rf,Italy,0,0.052472222222222226
2011,rf,Jamaica,0,0.0909760148477254
2011,rf,Japan,0,0.2697675935175935
2011,rf,Liberia,0,0.3615467237548314
2011,rf,Lesotho,1,0.29148237526362525
2011,rf,Luxembourg,0,0.02814330808080808
2011,rf,Mexico,0,0.21168246581849523
2011,rf,Mongolia,1,0.3241787382938699
2011,rf,Mauritius,1,0.13150557081807085
2011,rf,Malawi,0,0.1845031912531912
2011,rf,Namibia,0,0.17819972041847038
2011,rf,Norway,0,0.047561602870813395
2011,rf,Nepal,1,0.5601456715798823
2011,rf,Philippines,1,0.5638263542013542
2011,rf,Poland,1,0.06854017857142858
2011,rf,Portugal,0,0.03915115914786967
2011,rf,Paraguay,0,0.18072408841158843
2011,rf,Romania,0,0.0715855025822131
2011,rf,Senegal,0,0.3660633706571207
2011,rf,Sierra Leone,0,0.17315367965367962
2011,rf,Sweden,0,0.0492077067669173
2011,rf,Trinidad and Tobago,0,0.14279575107554984
2011,rf,United States of America,0,0.12167531671759611
2011,rf,South Africa,0,0.28041792929292925
2011,lr,Albania,0,0.6410265994027498
2011,lr,Argentina,0,0.012216327866968585
2011,lr,Australia,0,0.0006736307076454656
2011,lr,Belgium,0,0.010724533134054623
2011,lr,Benin,0,0.05685727159432987
2011,lr,Burkina Faso,1,0.3380585680200532
2011,lr,Bulgaria,0,0.5645004561592845
2011,lr,Brazil,1,0.03509220765795556
2011,lr,Bhutan,0,0.8618594957403268
2011,lr,Botswana,1,0.16677254631745528
2011,lr,Canada,0,0.008146318515856604
2011,lr,Chile,0,0.3551558703089896
2011,lr,Colombia,0,0.0032013516256909885
2011,lr,Costa Rica,0,0.08539445633438074
2011,lr,Cyprus,0,0.018089764511004868
2011,lr,Germany,0,0.06935354162037405
2011,lr,Denmark,0,0.056691238326124486
2011,lr,Spain,0,0.010995475515628402
2011,lr,Finland,0,0.005559974623796498
2011,lr,France,0,0.013537971619409497
2011,lr,United Kingdom,0,0.5182861851121245
2011,lr,Ghana,1,0.04072876924295815
2011,lr,Greece,0,0.12591988241793436
2011,lr,Guyana,0,0.18579435060855995
2011,lr,Israel,0,0.06589357680971542
2011,lr,Italy,0,0.04320549615569275
2011,lr,Jamaica,0,0.0044178484057825675
2011,lr,Japan,0,0.08665336310818493
2011,lr,Liberia,0,0.3169508625405067
2011,lr,Lesotho,1,0.6585935488649192
2011,lr,Luxembourg,0,0.004860028556775119
2011,lr,Mexico,0,0.033281889572502915
2011,lr,Mongolia,1,0.339372038831412
2011,lr,Mauritius,1,0.4707156892501379
2011,lr,Malawi,0,0.24551002305372452
2011,lr,Namibia,0,0.05644668202683003
2011,lr,Norway,0,0.002680533545862356
2011,lr,Nepal,1,0.7800023414530575
2011,lr,Philippines,1,0.7698013504783352
2011,lr,Poland,1,0.008844896883416838
2011,lr,Portugal,0,0.021763687136300756
2011,lr,Paraguay,0,0.902852114687701
2011,lr,Romania,0,0.006519919041594108
2011,lr,Senegal,0,0.6043184939044213
2011,lr,Sierra Leone,0,0.3976097138406463
2011,lr,Sweden,0,0.007259503866740203
2011,lr,Trinidad and Tobago,0,0.003444092506462422
2011,lr,United States of America,0,0.005479026493342796
2011,lr,South Africa,0,0.16278998975493827
2012,gb,Albania,0,0.37229255508942166
2012,gb,Argentina,0,0.002181244248915656
2012,gb,Australia,0,0.0006260602477452022
2012,gb,Belgium,0,0.0020972740119549445
2012,gb,Benin,0,0.01404975338459356
2012,gb,Burkina Faso,1,0.16583056725534606
2012,gb,Bulgaria,0,0.005008448141246964
2012,gb,Brazil,1,0.0011955783482045523
2012,gb,Bhutan,0,0.9662746763814046
2012,gb,Botswana,1,0.002800517446757208
2012,gb,Canada,0,0.0045991879277691135
2012,gb,Chile,0,0.0009363297933348801
2012,gb,Colombia,0,0.0019547782465488385
2012,gb,Costa Rica,0,0.0015574505524642661
2012,gb,Cyprus,0,0.0007097768259630898
2012,gb,Germany,0,0.002664380910484432
2012,gb,Denmark,0,0.002399006508391705
2012,gb,Spain,0,0.0031503555278228437
2012,gb,Finland,0,0.0026297298829184752
2012,gb,France,0,0.0008136052458673275
2012,gb,United Kingdom,0,0.0031091661579490983
2012,gb,Ghana,1,0.0012827740963535354
2012,gb,Greece,0,0.03253896036231007
2012,gb,Guyana,0,0.012218932381115967
2012,gb,Israel,0,0.011715604177308636
2012,gb,Italy,0,0.0013390072368391027
2012,gb,Jamaica,0,0.0004997460421734759
2012,gb,Japan,0,0.06447350204348316
2012,gb,Liberia,0,0.013168998476049009
2012,gb,Lesotho,1,0.06938172906588412
2012,gb,Luxembourg,0,0.002442654385584235
2012,gb,Mexico,0,0.002898125324157302
2012,gb,Mongolia,1,0.013511006943911965
2012,gb,Mauritius,1,0.001932753098122661
2012,gb,Malawi,0,0.06256100776861404
2012,gb,Namibia,0,0.007822718543160816
2012,gb,Nigeria,0,0.15056094993857783
2012,gb,Norway,0,0.0011857452607921238
2012,gb,Philippines,1,0.399342398616089
2012,gb,Poland,1,0.002875515317540887
2012,gb,Portugal,0,0.0016852630622589849
2012,gb,Paraguay,0,0.014394600422508178
2012,gb,Romania,0,0.0006070539666448114
2012,gb,Senegal,0,0.04599012946326288
2012,gb,Sierra Leone,0,0.0026251013203608836
2012,gb,Sweden,0,0.0007195064657903162
2012,gb,Trinidad and Tobago,0,0.0013283407702295727
2012,gb,Tunisia,1,0.010621097122365456
2012,gb,United States of America,0,0.011101590136391283
2012,gb,South Africa,0,0.008027523964779983
2012,rf,Albania,0,0.49321366072652817
2012,rf,Argentina,0,0.15970102813852818
2012,rf,Australia,0,0.0268125
2012,rf,Belgium,0,0.03127678571428571
2012,rf,Benin,0,0.21427491605616605
2012,rf,Burkina Faso,1,0.2946379433475021
2012,rf,Bulgaria,0,0.1995219849594849
2012,rf,Brazil,1,0.09119882237645399
2012,rf,Bhutan,0,0.3810508110740309
2012,rf,Botswana,1,0.10801055194805194
2012,rf,Canada,0,0.06964806721056721
2012,rf,Chile,0,0.02289331501831502
2012,rf,Colombia,0,0.1328771183881478
2012,rf,Costa Rica,0,0.033746482683982684
2012,rf,Cyprus,0,0.09427719539232698
2012,rf,Germany,0,0.035187530671083295
2012,rf,Denmark,0,0.027124729437229433
2012,rf,Spain,0,0.05506359649122807
2012,rf,Finland,0,0.0683699494949495
2012,rf,France,0,0.06626727475740635
2012,rf,United Kingdom,0,0.0729461955098565
2012,rf,Ghana,1,0.06964781746031747
2012,rf,Greece,0,0.3097186379796673
2012,rf,Guyana,0,0.23270731351981344
2012,rf,Israel,0,0.25461223498723495
2012,rf,Italy,0,0.04036172161172161
2012,rf,Jamaica,0,0.09289196950710109
2012,rf,Japan,0,0.28936245698745694
2012,rf,Liberia,0,0.2915238095238095
