edge_type,mse_full,mse_no_network,network_improvement_pct,n_spatial_edges,mean_contagion,std_contagion
contiguity,0.016375107690691948,0.02884034626185894,43.22152881934064,17352,0.35514338612924007,0.144088715124481
alliance,0.02449096366763115,0.035484351217746735,30.98094560798248,134408,0.32901155385214964,0.12074945506652464
trade,0.020987218245863914,0.03259185329079628,35.60593790537661,24840,0.37564902273489853,0.14826787201523853
full,0.026013854891061783,0.05550038069486618,53.12851089421792,176600,0.34788008818481647,0.14374654544081392
