,mean,min,max
latent factor dynamics,0.1275719561203432,0.1165607689801238,0.14861789942435094
structural / macro,0.08929564461822524,0.07512490496361467,0.09810198761811664
mobilization,0.06180145541435863,0.05399695883566855,0.08036548278483766
digital control,0.05817486694906048,0.04616324535679365,0.06570544151189314
network exposure,0.03433507114152273,0.015203106332138627,0.06255294884327137
executive legitimation,0.018923970891712816,0.010755403497339045,0.02772618659715429
critical slowing down,0.012171934397740837,0.00670685348104697,0.01711198001520583
military threat,0.009980775496904522,0.005083088954056592,0.014374932116867644
election vulnerability,0.0024645378516346184,-0.0018165526230042195,0.009777886390789515
