threshold,precision,recall,f1,fpr,tp,fp,fn,tn,n_flagged
0.017135212252031042,0.038190120381901206,0.9019607843137255,0.07327757865392275,0.4913061916878711,92,2317,10,2399,2409
0.021952410439235962,0.049107142857142856,0.8627450980392157,0.09292502639915522,0.361323155216285,88,1704,14,3012,1792
0.026769608626440882,0.057183702644746245,0.7843137254901961,0.10659560293137907,0.27968617472434265,80,1319,22,3397,1399
0.0315868068136458,0.06968325791855204,0.7549019607843137,0.1275890637945319,0.2179813401187447,77,1028,25,3688,1105
0.036404005000850725,0.08057395143487858,0.7156862745098039,0.14484126984126985,0.17663273960983886,73,833,29,3883,906
0.04122120318805564,0.08808290155440414,0.6666666666666666,0.15560640732265446,0.14927905004240882,68,704,34,4012,772
0.046038401375260565,0.09833585476550681,0.6372549019607843,0.17038007863695936,0.1263782866836302,65,596,37,4120,661
0.05085559956246548,0.10608695652173913,0.5980392156862745,0.18020679468242246,0.10899067005937235,61,514,41,4202,575
0.055672797749670405,0.11538461538461539,0.5882352941176471,0.19292604501607719,0.09754028837998303,60,460,42,4256,520
0.06048999593687532,0.1228813559322034,0.5686274509803921,0.20209059233449475,0.08778625954198473,58,414,44,4302,472
0.06530719412408025,0.13317757009345793,0.5588235294117647,0.21509433962264152,0.07866836301950805,57,371,45,4345,428
0.07012439231128516,0.13984168865435356,0.5196078431372549,0.2203742203742204,0.06912637828668362,53,326,49,4390,379
0.07494159049849008,0.15204678362573099,0.5098039215686274,0.23423423423423423,0.06149279050042409,52,290,50,4426,342
0.079758788685695,0.1597444089456869,0.49019607843137253,0.24096385542168672,0.05576759966072943,50,263,52,4453,313
0.08457598687289992,0.16,0.43137254901960786,0.23342175066312998,0.048982188295165395,44,231,58,4485,275
0.08939318506010485,0.1606425702811245,0.39215686274509803,0.22792022792022795,0.04431721798134012,40,209,62,4507,249
0.09421038324730976,0.16956521739130434,0.38235294117647056,0.23493975903614456,0.04050042408821035,39,191,63,4525,230
0.09902758143451468,0.16666666666666666,0.3431372549019608,0.22435897435897437,0.03710771840542833,35,175,67,4541,210
0.1038447796217196,0.16923076923076924,0.3235294117647059,0.22222222222222224,0.03435114503816794,33,162,69,4554,195
0.10866197780892453,0.15555555555555556,0.27450980392156865,0.19858156028368795,0.032230703986429174,28,152,74,4564,180
0.11347917599612944,0.15337423312883436,0.24509803921568626,0.18867924528301885,0.029262086513994912,25,138,77,4578,163
0.11829637418333436,0.15333333333333332,0.22549019607843138,0.18253968253968253,0.026929601357082274,23,127,79,4589,150
0.12311357237053928,0.1527777777777778,0.21568627450980393,0.1788617886178862,0.02586938083121289,22,122,80,4594,144
0.1279307705577442,0.1484375,0.18627450980392157,0.16521739130434782,0.0231128074639525,19,109,83,4607,128
0.13274796874494912,0.15966386554621848,0.18627450980392157,0.17194570135746606,0.021204410517387615,19,100,83,4616,119
0.13756516693215404,0.1574074074074074,0.16666666666666666,0.16190476190476188,0.01929601357082273,17,91,85,4625,108
0.14238236511935895,0.15,0.14705882352941177,0.14851485148514854,0.018023748939779476,15,85,87,4631,100
0.1471995633065639,0.15053763440860216,0.13725490196078433,0.14358974358974358,0.016751484308736218,14,79,88,4637,93
0.1520167614937688,0.14942528735632185,0.12745098039215685,0.13756613756613756,0.015691263782866838,13,74,89,4642,87
0.15683395968097372,0.14634146341463414,0.11764705882352941,0.13043478260869565,0.014843087362171332,12,70,90,4646,82
0.16165115786817866,0.14102564102564102,0.10784313725490197,0.12222222222222223,0.014206955046649703,11,67,91,4649,78
0.16646835605538357,0.136986301369863,0.09803921568627451,0.11428571428571428,0.013358778625954198,10,63,92,4653,73
0.17128555424258848,0.12857142857142856,0.08823529411764706,0.10465116279069767,0.012934690415606446,9,61,93,4655,70
0.1761027524297934,0.12307692307692308,0.0784313725490196,0.09580838323353294,0.012086513994910942,8,57,94,4659,65
0.1809199506169983,0.13114754098360656,0.0784313725490196,0.09815950920245399,0.011238337574215437,8,53,94,4663,61
0.18573714880420325,0.13333333333333333,0.0784313725490196,0.09876543209876543,0.01102629346904156,8,52,94,4664,60
0.19055434699140816,0.14035087719298245,0.0784313725490196,0.10062893081761007,0.010390161153519931,8,49,94,4667,57
0.19537154517861308,0.14545454545454545,0.0784313725490196,0.10191082802547771,0.00996607294317218,8,47,94,4669,55
0.20018874336581802,0.1568627450980392,0.0784313725490196,0.10457516339869281,0.009117896522476675,8,43,94,4673,51
0.20500594155302293,0.1702127659574468,0.0784313725490196,0.10738255033557047,0.00826972010178117,8,39,94,4677,47
0.20982313974022784,0.14285714285714285,0.058823529411764705,0.08333333333333333,0.007633587786259542,6,36,96,4680,42
0.21464033792743276,0.15,0.058823529411764705,0.08450704225352114,0.00720949957591179,6,34,96,4682,40
0.21945753611463767,0.1388888888888889,0.049019607843137254,0.07246376811594203,0.006573367260390161,5,31,97,4685,36
0.2242747343018426,0.15151515151515152,0.049019607843137254,0.07407407407407407,0.005937234944868533,5,28,97,4688,33
0.22909193248904752,0.125,0.0392156862745098,0.05970149253731343,0.005937234944868533,4,28,98,4688,32
0.23390913067625244,0.12903225806451613,0.0392156862745098,0.06015037593984963,0.0057251908396946565,4,27,98,4689,31
0.23872632886345738,0.13793103448275862,0.0392156862745098,0.061068702290076333,0.005301102629346904,4,25,98,4691,29
0.2435435270506623,0.13793103448275862,0.0392156862745098,0.061068702290076333,0.005301102629346904,4,25,98,4691,29
0.2483607252378672,0.14814814814814814,0.0392156862745098,0.062015503875969,0.004877014418999152,4,23,98,4693,27
0.2531779234250721,0.16,0.0392156862745098,0.06299212598425197,0.004452926208651399,4,21,98,4695,25
