design,lambda_true,n_rep,mean_estimate,bias,coverage_95,mean_width
balanced,0.0,189,-0.0094,-0.0094,0.921,0.1628
balanced,0.3,195,0.2911,-0.0089,0.918,0.154
balanced,0.6,193,0.5916,-0.0084,0.927,0.1301
unbalanced 15% missing,0.0,195,-0.0021,-0.0021,0.933,0.1608
unbalanced 15% missing,0.3,192,0.2974,-0.0026,0.938,0.1519
unbalanced 15% missing,0.6,194,0.5966,-0.0034,0.938,0.1265
unbalanced 30% missing,0.0,194,-0.0015,-0.0015,0.938,0.1585
unbalanced 30% missing,0.3,196,0.2971,-0.0029,0.929,0.148
unbalanced 30% missing,0.6,196,0.5968,-0.0032,0.918,0.1213
