,contiguity,alliance,trade,full
contiguity,0.9999999999999998,0.936486989399277,0.8762799978994905,0.9034587626629891
alliance,0.936486989399277,0.9999999999999998,0.9169796501738626,0.9437520120368318
trade,0.8762799978994905,0.9169796501738626,0.9999999999999998,0.9719901641365422
full,0.9034587626629891,0.9437520120368318,0.9719901641365422,0.9999999999999998
