country_name,country_text_id,aut_ep_id,onset,end,outcome,censored,paper_onset,paper_peak,paper_type,status
Mali,MLI,MLI_2008_2013,2008.0,2013.0,1.0,0.0,2020.0,2021.0,coup,onset_differs
Mali,MLI,MLI_2018_2025,2018.0,2025.0,3.0,1.0,2020.0,2021.0,coup,onset_differs
Mauritania,MRT,MRT_2013_2025,2013.0,2025.0,3.0,1.0,,,,ert_only
Mauritius,MUS,MUS_2014_2023,2014.0,2023.0,1.0,0.0,2017.0,2023.0,backsliding,onset_differs
Mexico,MEX,MEX_2020_2025,2020.0,2025.0,1.0,1.0,2024.0,2025.0,backsliding,onset_differs
Moldova,MDA,MDA_1998_2006,1998.0,2006.0,1.0,0.0,,,,ert_only
Moldova,MDA,MDA_2013_2017,2013.0,2017.0,2.0,0.0,,,,ert_only
Moldova,MDA,MDA_2023_2025,2023.0,2025.0,4.0,1.0,,,,ert_only
Mongolia,MNG,MNG_2016_2024,2016.0,2024.0,1.0,0.0,2024.0,2025.0,backsliding,onset_differs
Montenegro,,,,,,,2007.0,2020.0,backsliding,paper_addition
Mozambique,MOZ,MOZ_2017_2025,2017.0,2025.0,3.0,1.0,,,,ert_only
Nepal,NPL,NPL_2000_2003,2000.0,2003.0,3.0,0.0,,,,ert_only
Nepal,NPL,NPL_2012_2013,2012.0,2013.0,3.0,0.0,,,,ert_only
Nicaragua,NIC,NIC_1996_2025,1996.0,2025.0,1.0,1.0,2007.0,2021.0,backsliding,onset_differs
Niger,NER,NER_1996_1996,1996.0,1996.0,1.0,0.0,2009.0,2010.0,coup,onset_differs
Niger,NER,NER_1999_1999,1999.0,1999.0,3.0,0.0,2009.0,2010.0,coup,onset_differs
Niger,NER,NER_2009_2010,2009.0,2010.0,1.0,0.0,2009.0,2010.0,coup,matched
Niger,NER,NER_2015_2025,2015.0,2025.0,1.0,1.0,2009.0,2010.0,coup,onset_differs
Nigeria,,,,,,,2021.0,2024.0,backsliding,paper_addition
North Macedonia,MKD,MKD_2000_2001,2000.0,2001.0,3.0,0.0,2011.0,2016.0,backsliding,onset_differs
North Macedonia,MKD,MKD_2005_2012,2005.0,2012.0,1.0,0.0,2011.0,2016.0,backsliding,onset_differs
Pakistan,PAK,PAK_1999_2000,1999.0,2000.0,3.0,0.0,,,,ert_only
