score,n,auc_roc,auc_pr,cal_slope,slope_lo,slope_hi,cal_intercept,int_lo,int_hi,n_boot
raw rolling-origin score,1259,0.6243,0.1606,0.24,0.045,0.448,-1.342,-2.207,-0.582,2000
prequentially recalibrated,1189,0.6435,0.1783,0.994,0.361,1.701,-0.395,-1.632,0.86,2000
