country_text_id,contiguity,alliance,trade,full
AFG,0.35716806454017813,0.42401828522917695,0.43908598579474434,0.41320609957463705
ALB,0.443287851381941,0.42591214735118194,0.5053616552139231,0.4594027343769068
ARE,0.10086686322517988,0.14384056646830742,0.14721767569245592,0.10601491709389707
ARG,0.3881816078238852,0.28555048855247644,0.31378605150493794,0.29248018222096017
ARM,0.45874019469513794,0.4021258483396971,0.49752609036158246,0.4488286886776283
AUS,0.23904878127657248,0.22587454470282958,0.1736188271714557,0.1955361910007813
AZE,0.21097167244550344,0.18328127037319802,0.2342910093742049,0.17557246242668073
BDI,0.26220170203454235,0.2576907071071874,0.31584875700421655,0.2766332213536563
BEL,0.11445207245790434,0.20041696070829307,0.1455838616291722,0.15836247596063416
BEN,0.4754149548016723,0.3976877228049564,0.5438657959151887,0.5105909982153365
BFA,0.5155105417414176,0.48348347153718463,0.47407765734110685,0.49462554685263516
BGD,0.38666925149066744,0.4019329439270506,0.49311918467755494,0.44323741813634
BGR,0.39989018813461924,0.3429054392902143,0.42016808625206004,0.3517794905625606
BHR,0.22855619684102763,0.252197318942514,0.30658867004488016,0.22626255893559408
BIH,0.4326304628430682,0.41073762158736365,0.47928008431421604,0.4353057014877727
BLR,0.12661099909039017,0.0761068866245633,0.1471103084571412,0.09409153468255753
BOL,0.6481447287329294,0.5964523008201226,0.5657302744966297,0.6014935888092395
BRA,0.38887467591135855,0.3148633199987333,0.3150769582348632,0.31537230242208325
BTN,0.5560829451510088,0.5651483323818811,0.5653084920704996,0.5361734193030888
BWA,0.5456436488696003,0.47809600884133074,0.5183508605231583,0.5143774431248138
CAF,0.36388749219068195,0.31405922275586573,0.3721211002967551,0.3649807710886913
CAN,0.2515194063679697,0.23621612058817326,0.19439682255779997,0.20863210029180607
CHE,0.26650466892391267,0.1810667541520593,0.14519799360276475,0.17321815498136878
CHL,0.36264986848099307,0.2715708769754509,0.2649149888802173,0.25935388919497787
CIV,0.4783803958179071,0.36997005918048204,0.46821451080747156,0.464359939840642
CMR,0.42325569083627324,0.36335222283430624,0.4416731383920226,0.38837705397149014
COD,0.34579615307111994,0.3026524646448375,0.3680822190603137,0.33965430045693756
COL,0.4241252100875701,0.32589725742111353,0.3213174637310951,0.3208159537662407
CRI,0.3274388686609176,0.2854481810510451,0.2613979318359872,0.23284418899748233
CYP,0.42846019103029953,0.350458082352028,0.37363901728865934,0.32441489560900155
DEU,0.11091028766891071,0.1947000909035165,0.135214028858256,0.13976984196755224
DJI,0.2439697920486325,0.3071622833594282,0.39548497991282394,0.3339337448997607
DNK,0.11579980595380066,0.1647887508902864,0.1422462270472424,0.13555788445117506
ECU,0.6728085793599634,0.5763627614176523,0.47479217482457886,0.5479660118136984
EGY,0.21807795464993934,0.2608794411154776,0.30913855497548737,0.286156692752636
ESP,0.19157509814435472,0.22763651639882654,0.23831212507299732,0.19730632129917952
ETH,0.38964417979636246,0.35950160352065536,0.531334791431876,0.4612987928580371
FIN,0.16048129340407918,0.21460969743382613,0.15146098842891664,0.15639449617292348
FJI,0.5531790513394717,0.49445915300880444,0.6582713657292899,0.6102553881962622
FRA,0.1420180470073328,0.2800456953869597,0.2617371944068422,0.20519297786384452
GAB,0.3875675237886641,0.3234167756146141,0.44840182765415193,0.3957117164325865
GBR,0.16990103984595195,0.2357912095962761,0.20866148915726151,0.2163263229405601
GEO,0.5298792415560598,0.43892476397128444,0.5481321522840099,0.4836290469424627
GHA,0.35651869164004607,0.29530155541314673,0.3297019352187373,0.3193507396230069
