cutoff,test_end,auc,ap,n_pos,n,episodes_in_window
2008,2011,0.8557554769253934,0.6095653335909946,37,396,6
2011,2014,0.7754677754677755,0.47666693443518,37,388,9
2014,2017,0.7341566265060241,0.4217293605575385,50,382,7
2017,2020,0.9021406727828747,0.655882531094181,58,385,7
