h,learner,seed,config,n_scored,n_pos,auc_roc,auc_pr
2,gb,0,full,1207,54,0.6431691882689281,0.09655021389871951
2,gb,0,ablate_mob,1207,54,0.6512640133628858,0.09678201490905208
2,gb,0,ablate_dsp,1207,54,0.6651890398638014,0.10722637444680905
2,gb,1,full,1207,54,0.6421252128103819,0.0994382626938485
2,gb,1,ablate_mob,1207,54,0.6487745334232758,0.0954382405883124
2,gb,1,ablate_dsp,1207,54,0.6488628698082297,0.10594956238235334
2,gb,2,full,1207,54,0.6511355240756802,0.10186108938431812
2,gb,2,ablate_mob,1207,54,0.6526131508785454,0.09790674531011419
2,gb,2,ablate_dsp,1207,54,0.669027657319071,0.10354719077354814
2,rf,0,full,1207,54,0.7254103626610131,0.1666904325510322
2,rf,0,ablate_mob,1207,54,0.7205197391667469,0.1490525476229476
2,rf,0,ablate_dsp,1207,54,0.705341942115576,0.14978936707831778
2,rf,1,full,1207,54,0.7237078796055378,0.16126205950858258
2,rf,1,ablate_mob,1207,54,0.7345571937939676,0.14403427294448867
2,rf,1,ablate_dsp,1207,54,0.712987054704314,0.14103890568743005
2,rf,2,full,1207,54,0.7250650477016478,0.16794079136194573
2,rf,2,ablate_mob,1207,54,0.7207847483216087,0.13725205653599018
2,rf,2,ablate_dsp,1207,54,0.6994796183868169,0.15538139502481665
2,lr,0,full,1207,54,0.6223057402589058,0.0671173830136498
2,lr,0,ablate_mob,1207,54,0.627943207735055,0.06639728145188786
2,lr,0,ablate_dsp,1207,54,0.6129260222928914,0.06227382061928166
2,lr,1,full,1207,54,0.6223057402589058,0.0671173830136498
2,lr,1,ablate_mob,1207,54,0.627943207735055,0.06639728145188786
2,lr,1,ablate_dsp,1207,54,0.6129260222928914,0.06227382061928166
2,lr,2,full,1207,54,0.6223057402589058,0.0671173830136498
2,lr,2,ablate_mob,1207,54,0.627943207735055,0.06639728145188786
2,lr,2,ablate_dsp,1207,54,0.6129260222928914,0.06227382061928166
5,gb,0,full,933,107,0.6681224683759137,0.21307730915082396
5,gb,0,ablate_mob,933,107,0.654465841460931,0.19597365968502423
5,gb,0,ablate_dsp,933,107,0.6598402389626847,0.20346996110382592
5,gb,1,full,933,107,0.6648412572695798,0.21357338336132337
5,gb,1,ablate_mob,933,107,0.6729367970853793,0.21523821386946773
5,gb,1,ablate_dsp,933,107,0.6572831572039554,0.1871245661845962
5,gb,2,full,933,107,0.6617184494580345,0.21559777845524958
5,gb,2,ablate_mob,933,107,0.6599081260890226,0.20163730542354444
5,gb,2,ablate_dsp,933,107,0.6551220836821977,0.1973231570162768
5,rf,0,full,933,107,0.7042214478061143,0.22445639781348833
5,rf,0,ablate_mob,933,107,0.6923129143943336,0.21278597927643333
5,rf,0,ablate_dsp,933,107,0.6941006087212329,0.2047688157547001
5,rf,1,full,933,107,0.7000746758389716,0.2291785948225883
5,rf,1,ablate_mob,933,107,0.6967029485641874,0.21016823562933776
5,rf,1,ablate_dsp,933,107,0.6976081102486931,0.2096763180390785
5,rf,2,full,933,107,0.6959222466113009,0.22088607410667124
5,rf,2,ablate_mob,933,107,0.6890995904143378,0.21760089962629228
5,rf,2,ablate_dsp,933,107,0.6946889638161616,0.21210426932173815
5,lr,0,full,933,107,0.6140390577266863,0.16700248609498353
5,lr,0,ablate_mob,933,107,0.6282048380892037,0.16144715251403297
5,lr,0,ablate_dsp,933,107,0.6017062297752935,0.15406599681563407
5,lr,1,full,933,107,0.6140390577266863,0.16700248609498353
5,lr,1,ablate_mob,933,107,0.6282048380892037,0.16144715251403297
5,lr,1,ablate_dsp,933,107,0.6017062297752935,0.15406599681563407
5,lr,2,full,933,107,0.6140390577266863,0.16700248609498353
5,lr,2,ablate_mob,933,107,0.6282048380892037,0.16144715251403297
5,lr,2,ablate_dsp,933,107,0.6017062297752935,0.15406599681563407
