S,LL,BIC,ICL,CV_LL,kappa,kappa_w,min_persistence
3,4595.9140401966115,-7947.286321541927,-7340.435147457761,0.29383901846755345,0.27338728352641495,0.328677164253538,0.6863516729981599
4,9780.72632121278,-17863.54209999272,-17249.15911243742,0.8712202450673929,0.4588634095734765,0.6479344397620572,0.6668064708657679
5,13362.33719747715,-24555.615900956327,-23758.46102576493,1.131688095868345,0.37256226652881064,0.6677891315056186,0.6652873775882973
6,15867.173391543092,-29076.361169539487,-27898.100456875338,1.4529325637728656,0.4023990885977412,0.6928003319523932,0.6276201325996706
