country,onset,type,max_risk,threshold,detected
Hungary,2010,backsliding,0.6064964399431663,0.13392314054862373,True
Hungary,2010,backsliding,0.6064964399431663,0.1633267348814472,True
Hungary,2010,backsliding,0.6064964399431663,0.19273032921427063,True
Hungary,2010,backsliding,0.6064964399431663,0.2221339235470941,True
Hungary,2010,backsliding,0.6064964399431663,0.25153751787991757,True
Hungary,2010,backsliding,0.6064964399431663,0.280941112212741,True
Hungary,2010,backsliding,0.6064964399431663,0.31034470654556445,True
Hungary,2010,backsliding,0.6064964399431663,0.3397483008783879,True
Hungary,2010,backsliding,0.6064964399431663,0.3691518952112114,True
Hungary,2010,backsliding,0.6064964399431663,0.39855548954403486,True
Hungary,2010,backsliding,0.6064964399431663,0.4279590838768583,True
Hungary,2010,backsliding,0.6064964399431663,0.4573626782096818,True
Hungary,2010,backsliding,0.6064964399431663,0.48676627254250526,True
Hungary,2010,backsliding,0.6064964399431663,0.5161698668753287,True
Hungary,2010,backsliding,0.6064964399431663,0.5455734612081521,True
Hungary,2010,backsliding,0.6064964399431663,0.5749770555409756,True
Hungary,2010,backsliding,0.6064964399431663,0.604380649873799,True
Hungary,2010,backsliding,0.6064964399431663,0.6337842442066225,False
Hungary,2010,backsliding,0.6064964399431663,0.663187838539446,False
Hungary,2010,backsliding,0.6064964399431663,0.6925914328722694,False
Türkiye,2013,backsliding,0.7151062683745669,0.13392314054862373,True
Türkiye,2013,backsliding,0.7151062683745669,0.1633267348814472,True
Türkiye,2013,backsliding,0.7151062683745669,0.19273032921427063,True
Türkiye,2013,backsliding,0.7151062683745669,0.2221339235470941,True
Türkiye,2013,backsliding,0.7151062683745669,0.25153751787991757,True
Türkiye,2013,backsliding,0.7151062683745669,0.280941112212741,True
Türkiye,2013,backsliding,0.7151062683745669,0.31034470654556445,True
Türkiye,2013,backsliding,0.7151062683745669,0.3397483008783879,True
Türkiye,2013,backsliding,0.7151062683745669,0.3691518952112114,True
Türkiye,2013,backsliding,0.7151062683745669,0.39855548954403486,True
Türkiye,2013,backsliding,0.7151062683745669,0.4279590838768583,True
Türkiye,2013,backsliding,0.7151062683745669,0.4573626782096818,True
Türkiye,2013,backsliding,0.7151062683745669,0.48676627254250526,True
Türkiye,2013,backsliding,0.7151062683745669,0.5161698668753287,True
Türkiye,2013,backsliding,0.7151062683745669,0.5455734612081521,True
Türkiye,2013,backsliding,0.7151062683745669,0.5749770555409756,True
Türkiye,2013,backsliding,0.7151062683745669,0.604380649873799,True
Türkiye,2013,backsliding,0.7151062683745669,0.6337842442066225,True
Türkiye,2013,backsliding,0.7151062683745669,0.663187838539446,True
Türkiye,2013,backsliding,0.7151062683745669,0.6925914328722694,True
