country,mean,std,min,max
Ukraine,0.6269175122322495,0.06781932645759473,0.5487659534771294,0.75701595102678
Hungary,0.6057980584429824,0.06355205876928831,0.5269154376738803,0.7212389638374391
Tunisia,0.5929549887465656,0.05091961536633893,0.4967715597821698,0.6746399917148094
Serbia,0.5515692845702844,0.058644453458304366,0.4867896204214373,0.6680419463784198
Poland,0.3734913415336024,0.02177602766590269,0.34327115224223237,0.40960534046229186
Argentina,0.33183994144732465,0.031503068101133465,0.26975893127304396,0.38518903022179335
Türkiye,0.322504525473964,0.037346739951701034,0.25652452225423245,0.37979644336019386
United States of America,0.30813796148824346,0.030317621614839276,0.23884006299585717,0.3359430047255087
Brazil,0.2805157221960794,0.028255615831245667,0.23119423203861975,0.32857742705810206
Denmark,0.17915245623516,0.04445856495143588,0.1328869132637936,0.2556727788264783
