S,LL,BIC,kappa,kappa_w,n_matched,min_persistence
3,-52805.26113198523,106101.62336442474,0.4438270132920257,0.5743411613938569,7256,0.9508267328876421
4,-48760.7770174863,98214.35737311348,0.47896606720915935,0.6465077281222829,7256,0.9344491628839305
5,-45175.609722085406,91263.26434501448,0.4999577682586983,0.7177006766802373,7256,0.9131145974467457
6,-41865.256079086284,84879.33794673528,0.38660695074089524,0.6989591352045053,7256,0.9126491808750438
