design,lambda_true,n_rep,mean_estimate,bias,coverage_95,mean_width
balanced,0.0,200,0.012,0.012,0.94,0.4496
balanced,0.3,200,0.3069,0.0069,0.93,0.4205
balanced,0.6,200,0.6005,0.0005,0.945,0.3519
unbalanced 15% missing,0.0,200,-0.0096,-0.0096,0.935,0.4442
unbalanced 15% missing,0.3,200,0.2879,-0.0121,0.94,0.4183
unbalanced 15% missing,0.6,200,0.5869,-0.0131,0.94,0.3468
unbalanced 30% missing,0.0,200,-0.0021,-0.0021,0.925,0.4297
unbalanced 30% missing,0.3,200,0.294,-0.006,0.92,0.4018
unbalanced 30% missing,0.6,200,0.5914,-0.0086,0.935,0.3294
