auc_roc,auc_pr,auc_roc_oos_2017,auc_pr_oos_2017,watch_detected,watch_total,watch_sensitivity,configuration,n_features
0.9407834019985781,0.6554111452218164,0.8967633322472032,0.5027919892183783,46,46,1.0,full,229
0.9383392725458246,0.6452233289903682,0.8949169110459434,0.5149771359093906,45,46,0.9782608695652174,ablate_dsp,209
0.8869176149535681,0.4755740048479261,0.7744379276637342,0.31689229215782716,42,46,0.9130434782608695,dsp_only,20
-0.0024441294527535184,-0.010187816231448266,-0.0018464212012597736,,1,46,-0.021739130434782594,delta_full_minus_ablate,20
