auc_roc,auc_pr,auc_roc_oos,auc_pr_oos,watch_detected,watch_total,watch_sensitivity,configuration,n_features
0.9435046211047377,0.6573056466191893,0.8870696209405888,0.4595171233649785,46,46,1.0,full,229
0.9378237312384914,0.6506300755111749,0.8974421635711959,0.4964277994619107,45,46,0.9782608695652174,ablate_dsp,209
0.8898364398284915,0.47266088817053825,0.7762300423590747,0.34963443887779005,44,46,0.9565217391304348,dsp_only,20
0.9375102114712908,0.6065977361625916,0.8818290431193657,0.4266458633611129,45,46,0.9782608695652174,ablate_mob,221
0.8596877608064966,0.4737998373189128,0.7741392418811773,0.21396688642407527,39,46,0.8478260869565217,mob_only,8
0.9380279606643087,0.661717555522963,0.8611111111111112,0.3630813963501519,44,46,0.9565217391304348,ablate_factor,138
0.8684265723457902,0.39825305354619567,0.8429455848810687,0.3034868788749999,45,46,0.9782608695652174,factor_only,91
0.941375115362027,0.635814060368544,0.8867437819050723,0.4673799988969251,45,46,0.9782608695652174,ablate_mobdem,227
0.7818261201708021,0.3236670015877867,0.713601064407516,0.15573371320884613,39,46,0.8478260869565217,mobdem_only,2
0.93921801104826,0.63116047410573,0.8908982296079071,0.4728410528315784,46,46,1.0,ablate_mobaut,227
0.7984393560039035,0.2878062024489293,0.6312045183012925,0.1329518585587983,39,46,0.8478260869565217,mobaut_only,2
0.9450865711976897,0.6501325255842887,0.8964646464646464,0.46504070954723115,46,46,1.0,ablate_mobgen,225
0.8113317524871833,0.38041780705370465,0.6444281524926686,0.12057065072171291,40,46,0.8695652173913043,mobgen_only,4
-0.005680889866246264,-0.006675571108014422,0.010372542630607051,0.03691067609693216,-1,46,-0.021739130434782594,delta_ablate_dsp_minus_full,-20
-0.005994409633446884,-0.05070791045659773,-0.0052405778212231136,-0.03287126000386564,-1,46,-0.021739130434782594,delta_ablate_mob_minus_full,-8
-0.005476660440428938,0.004411908903773631,-0.02595850982947767,-0.09643572701482661,-2,46,-0.04347826086956519,delta_ablate_factor_minus_full,-91
-0.0021295057427106467,-0.02149158625064529,-0.0003258390355165286,0.00786287553194659,-1,46,-0.021739130434782594,delta_ablate_mobdem_minus_full,-2
-0.00428661005647768,-0.02614517251345938,0.0038286086673182673,0.013323929466599882,0,46,0.0,delta_ablate_mobaut_minus_full,-2
0.0015819500929520336,-0.0071731210349006425,0.009395025524057576,0.005523586182252627,0,46,0.0,delta_ablate_mobgen_minus_full,-4
