seed,country,contagion,domestic
0,Argentina,0.3314008154044383,0.6685991845955617
0,Brazil,0.2669314689047078,0.7330685310952922
0,Denmark,0.20664750616720784,0.7933524938327922
0,Hungary,0.545716514543759,0.454283485456241
0,Poland,0.37962621881460007,0.6203737811854
0,Serbia,0.4979018397605853,0.5020981602394148
0,Tunisia,0.5824601280212721,0.4175398719787279
0,Türkiye,0.30747745216186273,0.6925225478381373
0,Ukraine,0.5917950186327758,0.40820498136722416
0,United States of America,0.3213054516948434,0.6786945483051565
1,Argentina,0.38518903022179335,0.6148109697782067
1,Brazil,0.32857742705810206,0.6714225729418979
1,Denmark,0.1764658168046969,0.8235341831953031
1,Hungary,0.5698144233915359,0.4301855766084641
1,Poland,0.363237534110183,0.636762465889817
1,Serbia,0.4867896204214373,0.5132103795785627
1,Tunisia,0.5523965263596881,0.44760347364031194
1,Türkiye,0.31551707241536153,0.6844829275846385
1,Ukraine,0.5797708517579863,0.42022914824201374
1,United States of America,0.31851035691077734,0.6814896430892227
2,Argentina,0.3475972580057835,0.6524027419942164
2,Brazil,0.3110298809322421,0.688970119067758
2,Denmark,0.1345492609255134,0.8654507390744866
2,Hungary,0.6114132574212853,0.38858674257871473
2,Poland,0.40960534046229186,0.5903946595377081
2,Serbia,0.5741273860445004,0.4258726139554996
2,Tunisia,0.6100906659777724,0.3899093340222276
2,Türkiye,0.28155259075560113,0.7184474092443989
2,Ukraine,0.6196303466824736,0.38036965331752637
2,United States of America,0.2906159192104207,0.7093840807895793
3,Argentina,0.26975893127304396,0.730241068726956
3,Brazil,0.23119423203861975,0.7688057679613802
3,Denmark,0.1745594041899432,0.8254405958100568
3,Hungary,0.7212389638374391,0.27876103616256087
3,Poland,0.4025141477864616,0.5974858522135384
3,Serbia,0.6680419463784198,0.33195805362158015
3,Tunisia,0.6431371726240439,0.3568628273759561
3,Türkiye,0.3252378543487301,0.6747621456512699
3,Ukraine,0.75701595102678,0.24298404897322
3,United States of America,0.3300159468389613,0.6699840531610387
4,Argentina,0.3334502073069423,0.6665497926930577
4,Brazil,0.27512903986522,0.72487096013478
4,Denmark,0.16158906641152915,0.8384109335884709
4,Hungary,0.5362217093204268,0.4637782906795732
4,Poland,0.34327115224223237,0.6567288477577676
4,Serbia,0.5069143567036132,0.4930856432963868
4,Tunisia,0.598467004296627,0.401532995703373
4,Türkiye,0.33105069906894286,0.6689493009310572
4,Ukraine,0.5740933908621622,0.42590660913783784
4,United States of America,0.2805811387592143,0.7194188612407857
5,Argentina,0.3511671478768232,0.6488328521231768
5,Brazil,0.28499525187086616,0.7150047481291338
5,Denmark,0.24651239596004906,0.753487604039951
5,Hungary,0.5901177784966473,0.40988222150335274
5,Poland,0.357388627776737,0.6426113722232629
5,Serbia,0.49853260422314655,0.5014673957768534
5,Tunisia,0.4967715597821698,0.5032284402178302
5,Türkiye,0.25652452225423245,0.7434754777457675
5,Ukraine,0.5487659534771294,0.4512340465228706
5,United States of America,0.3357489087747755,0.6642510912252245
6,Argentina,0.35431519545037293,0.6456848045496271
6,Brazil,0.3016339735403816,0.6983660264596184
6,Denmark,0.1328869132637936,0.8671130867362065
6,Hungary,0.642843358271048,0.357156641728952
6,Poland,0.39024100456793076,0.6097589954320692
6,Serbia,0.6032780699436701,0.39672193005632994
6,Tunisia,0.6336168813317844,0.3663831186682156
6,Türkiye,0.3373150969722303,0.6626849030277697
6,Ukraine,0.6462640151626478,0.35373598483735225
6,United States of America,0.3178265068103326,0.6821734931896675
7,Argentina,0.3021375640041128,0.6978624359958872
7,Brazil,0.26343890284114,0.73656109715886
7,Denmark,0.2556727788264783,0.7443272211735217
7,Hungary,0.666671869538177,0.33332813046182297
7,Poland,0.36313739390143585,0.6368626060985642
7,Serbia,0.5905050914195377,0.40949490858046234
7,Tunisia,0.6746399917148094,0.3253600082851906
7,Türkiye,0.316759003092463,0.683240996907537
7,Ukraine,0.7318288821257967,0.26817111787420334
7,United States of America,0.3359430047255087,0.6640569952744912
8,Argentina,0.3190602582288379,0.6809397417711621
8,Brazil,0.2576273777896694,0.7423726222103306
8,Denmark,0.1689903509700585,0.8310096490299415
8,Hungary,0.6470272719356255,0.3529727280643745
8,Poland,0.3728383109887825,0.6271616890112175
8,Serbia,0.5259219955050745,0.47407800449492554
8,Tunisia,0.5665699456378673,0.43343005436213267
8,Türkiye,0.37979644336019386,0.6202035566398061
8,Ukraine,0.6173968034400893,0.3826031965599107
8,United States of America,0.311992318161744,0.688007681838256
9,Argentina,0.32432300670109787,0.6756769932989022
9,Brazil,0.28459966711984513,0.7154003328801548
9,Denmark,0.13365106883232986,0.8663489311676702
9,Hungary,0.5269154376738803,0.47308456232611973
9,Poland,0.35305368468536913,0.6469463153146309
9,Serbia,0.56367993530286,0.43632006469714
9,Tunisia,0.5714000117196221,0.42859998828037793
9,Türkiye,0.37381452031002227,0.6261854796899777
9,Ukraine,0.6026139091546542,0.3973860908453458
9,United States of America,0.23884006299585717,0.7611599370041429
