country,factor,q_state,r_obs,snr,neg_loglik,T,beta_mean,beta_std
Mexico,factor_1,0.25881098047357526,0.0018968197201511743,136.44469093401682,-74.19525378610204,56,1.1369314859237118,0.7018070300055423
Mexico,factor_2,0.00033546262790251185,0.0016234706917904245,0.20663300520229969,-83.38550162756883,56,-0.2603328591495548,0.13101914277021304
Mexico,factor_3,0.008279252181408934,0.00380579931721055,2.1754305709101835,-62.8519207670769,56,-0.005985700592677346,0.1877814859496826
Mexico,factor_4,0.00033546262790251185,0.011530126016794451,0.029094445924865573,-37.90331529315574,56,-0.5982918312056105,0.28128766452222537
Sweden,factor_1,0.00033546262790251185,0.00033546262790251185,1.0,-125.04994706058471,56,0.040686750299300606,0.02704269903854689
Sweden,factor_2,0.011701825200319014,0.0006129020979267187,19.092486777093942,-105.07483352815909,56,-0.0014019292302283638,0.1738742668167156
Sweden,factor_3,0.00033546262790251185,0.0024427304944914857,0.13733100260507725,-73.44934657914848,56,0.43903606804205203,0.08961890419900391
Sweden,factor_4,0.00033546262790251185,0.007616112143046887,0.044046440178637826,-47.56205530868244,56,0.49103042471959624,0.11650201061756228
Switzerland,factor_1,0.00033546262790251185,0.0008207386871194768,0.4087325639295444,-98.42101243473357,56,0.13739333299045925,0.041817857818929376
Switzerland,factor_2,0.23851706699245404,0.014183724119398554,16.816251147062506,-31.915292872213367,56,0.5778299665817997,0.6177559084209516
Switzerland,factor_3,0.00033546262790251185,0.09961360905159528,0.0033676385294780114,12.687077453329074,56,1.0763843875434183,0.45516855081058677
Switzerland,factor_4,7.38905609893065,0.5667434085719494,13.037745101525239,55.77670512673764,56,3.031257366765992,5.406695928150654
Ghana,factor_1,2.062871759579602,0.025783898110306135,80.00620196195419,-14.410760755714515,56,2.828830892245595,1.3556272294445502
Ghana,factor_2,0.00033546262790251185,0.010920817683512564,0.030717720744387878,-39.25243528943278,56,1.591604320953586,0.21772200481860313
Ghana,factor_3,0.8552254234696167,0.27644619610662857,3.0936414952143028,37.53340484330791,56,2.721444592486306,1.1506142717280525
Ghana,factor_4,0.603118671981059,0.04077279507785854,14.792183631986994,-6.570687001896753,56,1.31630304259906,1.218144641700536
South Africa,factor_1,0.01958954317818678,0.012640176152927743,1.5497840331639214,-34.98217656984042,56,1.191637947758072,0.2060834331006586
South Africa,factor_2,0.00033546262790251185,0.004084276591546095,0.0821351395732783,-62.073388702309344,56,-0.2062770082050474,0.07231182671320972
South Africa,factor_3,0.00033546262790251185,0.03128049421611687,0.010724339122802894,-14.383417068543169,56,0.4613356211847245,0.21806028794838042
South Africa,factor_4,0.00033546262790251185,0.008819380043286815,0.03803698516857329,-44.10957059384288,56,0.22437309039716719,0.09831871738018982
Japan,factor_1,0.012634632528926347,0.00033546262790251185,37.66330875044022,-130.01695475606394,56,0.2602054673046765,0.24134088251483343
Japan,factor_2,0.07714988351422261,0.0005049106885056359,152.79906975738632,-107.10501602592267,56,0.5937574436322864,0.28251464084067895
Japan,factor_3,0.003798573308909848,0.0006737487794440211,5.63796688736778,-102.37011601529653,56,0.25196177601068076,0.11161563541492216
Japan,factor_4,0.0028632706847514806,0.00033546262790251185,8.535289616772364,-125.44329095126514,56,0.12574610761435281,0.08606321981889467
Burma/Myanmar,factor_1,0.00033546262790251185,0.00976369832302669,0.034358151676128434,-41.495432421736005,55,0.8160566305008752,0.4354586473897962
Burma/Myanmar,factor_2,0.00033546262790251185,0.004455424848111046,0.07529307290296615,-60.05309906953423,55,0.7377652402364384,0.20841641803014085
Burma/Myanmar,factor_3,0.05111370758859217,0.09907923843429582,0.5158871666387314,12.659020424251494,55,-1.0914039895878613,1.096363129458567
Burma/Myanmar,factor_4,0.8417471403536705,0.03383406428421855,24.87868833264268,-10.338882601023673,55,-1.0968410474600363,1.1367844443934794
Russia,factor_1,7.38905609893065,0.0009388856013886066,7870.028135485598,-54.96387064353567,56,0.7646262064988831,3.324533690437183
Russia,factor_2,7.38905609893065,0.0032673758400053963,2261.464998443046,-50.905316596791636,56,4.858092197303233,3.5727681399489923
Russia,factor_3,0.05272048655971413,0.012696150985224893,4.1524779140597365,-34.516226714529246,56,-0.41037333222013345,0.24446981754344177
Russia,factor_4,0.00033546262790251185,0.041144715195124956,0.008153237331006225,-8.202630250340002,56,0.7583994378179881,0.3247445435932576
Albania,factor_1,7.38905609893065,0.0007455935556725346,9910.300381104596,-37.10037263889483,56,1.1894988293681117,2.9378925341010693
Albania,factor_2,7.38905609893065,0.011923420694626303,619.7094179743889,-18.22029794872883,56,3.272589854128773,2.9726127050930695
Albania,factor_3,0.2626524311920628,0.002631377596776596,99.81556106345538,-65.82161726885442,56,-0.163415172628727,0.49226397055646676
Albania,factor_4,0.00033546262790251185,0.021145816350434134,0.015864255242887544,-23.726413164089266,56,-0.3586265777573999,0.13150354229633457
Egypt,factor_1,2.1637277103802863,0.007765294539994285,278.64077778843387,-38.67577238966256,56,3.2777706221149696,3.9671327860191243
Egypt,factor_2,0.15205801627351392,0.0100507835478203,15.128971343382531,-40.08262051667677,56,0.5197017178461546,0.7893986701059503
Egypt,factor_3,0.00033546262790251185,0.16673670292583495,0.0020119303189755815,24.616229201244778,56,-0.5227039661814474,0.6571326920204598
Egypt,factor_4,0.00033546262790251185,0.03831482955975543,0.008755425295036942,-9.892773479354512,56,-0.15828440860502666,0.24884647457050266
Yemen,factor_1,1.1687230201003924,0.0035290101147760267,331.175877112658,-56.48687882272879,56,2.6520913937487327,2.2905909688002866
Yemen,factor_2,0.045880066096610446,0.007335896143052205,6.254186973470618,-47.902585485209705,56,2.6518689749726643,0.3848883038633687
Yemen,factor_3,0.00033546262790251185,0.13797341763281853,0.002431356950186311,20.179623007360625,56,0.5776711197559379,0.6839098572634696
Yemen,factor_4,0.00033546262790251185,0.021536308253028682,0.015576607836458473,-23.30467301835501,56,0.33473525510934804,0.32898148921102655
Colombia,factor_1,0.8154715636126925,0.0018604547069462568,438.31841784055274,-70.14062093789904,56,0.5343120506732203,0.7045704215417458
Colombia,factor_2,0.015116475935223425,0.0022230450733231764,6.799896284885565,-75.64531832629976,56,-0.6169824881958992,0.1936263905222659
Colombia,factor_3,0.03118670066754528,0.0063931852500908135,4.878116220252226,-50.421152721369154,56,0.5532374326803308,0.326848451462492
Colombia,factor_4,0.00033546262790251185,0.11045029609820335,0.0030372270582619894,14.941786598846155,56,-0.17626723035586317,0.9769134080256499
Poland,factor_1,0.00033546262790251185,0.04093322026948462,0.00819536370932918,-8.183957592412753,56,4.550091779465584,0.30548929996298807
Poland,factor_2,7.38905609893065,0.018616928059600486,396.8998577678995,-19.944659540612697,56,0.3681584455262513,1.3404402697168618
Poland,factor_3,0.5262174333200075,0.005627977621823812,93.50027108840574,-48.1812248230545,56,-0.7749717331784398,0.5967211908576948
Poland,factor_4,0.00033546262790251185,0.05400658057672568,0.006211513936267993,-1.7694117507638842,56,-1.1378713837325791,0.3693208634222475
Brazil,factor_1,7.38905609893065,0.0014389662710344894,5134.975188555722,-53.46313053122716,56,3.816628162429367,4.303810404369128
Brazil,factor_2,0.00033546262790251185,0.003617533875199026,0.09273240817518418,-64.88483471393081,56,-0.23822073879961614,0.24373660107774334
Brazil,factor_3,0.0194171214115001,0.007849258184096144,2.473752417883553,-45.95633209993572,56,0.491034399365914,0.21729424949915208
Brazil,factor_4,0.01206661868116176,0.012779592837045932,0.9442099474548691,-35.099546861686555,56,-0.49883785205484016,0.2706148153426148
United States of America,factor_1,0.00033546262790251185,0.0009384525778264064,0.3574635904133722,-95.46093480576327,56,0.11219100296594896,0.03273810742911849
United States of America,factor_2,0.3110914939713156,0.0006561286639548746,474.13184495885855,-97.89424907501733,56,-0.8916708099168327,1.0500606852583854
United States of America,factor_3,0.00033546262790251185,0.005178877261914816,0.06477516475810036,-56.17567479107506,56,0.3500140974256878,0.07481715442642045
United States of America,factor_4,0.03771866433783485,0.002889192065675282,13.055090655255203,-68.58634902380709,56,0.4949413597756107,0.2920991356459983
Portugal,factor_1,0.43690551522984344,0.04856154607902868,8.996944094795229,-2.650532244471835,56,-0.52490041563371,0.7524192971607953
Portugal,factor_2,0.0946889679822756,0.008432207096588247,11.22944051274401,-44.33222580307064,56,0.1793040571027359,0.2210469189565648
Portugal,factor_3,0.15488553463479438,0.07161316066047321,2.162808249298278,5.561993063871041,56,1.2913677888039194,0.9293970642449739
Portugal,factor_4,0.00033546262790251185,0.009635726140777364,0.03481446265713902,-41.96884743895833,56,0.12603815265791563,0.14010456348069583
Bangladesh,factor_1,0.03411269650792155,0.018570034193149048,1.8369754278915964,-25.465571976094907,54,0.7177407986274881,0.17311025852153034
Bangladesh,factor_2,0.5142703008264987,0.010755048166679925,47.81664320386336,-36.63801629475213,54,1.4297682738950266,0.9243285197755536
Bangladesh,factor_3,0.7483192665264576,0.33952741634323835,2.2040024766953117,41.22000562523762,54,0.587983206034141,1.1822625643583387
Bangladesh,factor_4,3.1073370513525114,0.06745675025237925,46.064137980659886,6.721471811844754,54,-0.8508742680207605,2.0646685908555003
Bolivia,factor_1,0.00033546262790251185,0.023050795237346943,0.014553191091602543,-21.344634059061697,56,0.3153349657392969,0.15594986982660636
Bolivia,factor_2,0.061628398614855286,0.008182443046453372,7.5317846106570485,-45.15898455296554,56,0.08846790500348978,0.3236407784087818
Bolivia,factor_3,0.08263251849160387,0.06249940443887981,1.3221328944408244,2.2165984223014656,56,2.4004758749724546,0.6986874300173858
Bolivia,factor_4,0.00033546262790251185,0.12012886586011869,0.002792523058472338,16.95707648699211,56,1.058602315354757,0.42906230109558025
Haiti,factor_1,0.00033546262790251185,0.023054218357030094,0.014551030215267165,-21.5878255065122,56,0.8200449900759287,0.31602363735896827
