iso3,year,infant_mortality,inflation_yoy,food_prod_index,ext_debt_gni,work_age_share,youth_bulge_proxy
ABW,1960,,,,,54.6320235971013,21.852809438840524
ABW,1961,,,,,54.9538040789154,21.98152163156616
ABW,1962,,,,,55.2308238636364,22.09232954545456
ABW,1963,,,,,55.6187117882863,22.24748471531452
ABW,1964,,,,,56.1316579600479,22.452663184019162
ABW,1965,,,,,56.7039010139199,22.68156040556796
ABW,1966,,,,,57.2770872909728,22.91083491638912
ABW,1967,,,,,57.6465702104576,23.05862808418304
ABW,1968,,,,,57.7971711289244,23.11886845156976
ABW,1969,,,,,57.9243717401612,23.16974869606448
ABW,1970,,,,,58.074995123027,23.229998049210803
ABW,1971,,,,,58.3059007664106,23.322360306564242
ABW,1972,,,,,58.8890492482448,23.55561969929792
ABW,1973,,,,,59.7841357437895,23.9136542975158
ABW,1974,,,,,60.6907621170287,24.27630484681148
ABW,1975,,,,,61.5876670092497,24.635066803699882
ABW,1976,,,,,62.4895954040247,24.995838161609882
ABW,1977,,,,,63.3285103477427,25.33140413909708
ABW,1978,,,,,64.0378165556798,25.61512662227192
ABW,1979,,,,,64.6390719917281,25.855628796691242
ABW,1980,,,,,65.0953432518255,26.0381373007302
ABW,1981,,,,,65.3149391321106,26.12597565284424
ABW,1982,,,,,65.4815488731405,26.1926195492562
ABW,1983,,,,,65.7199686194955,26.2879874477982
ABW,1984,,,,,65.9860247835575,26.394409913423
ABW,1985,,4.03225805628627,,,66.3619298948344,26.54477195793376
ABW,1986,,1.07396640826828,,,66.8351107723018,26.734044308920723
ABW,1987,,3.64304545817705,,,67.3203696694423,26.92814786777692
ABW,1988,,3.12186849610722,,,67.6877071681157,27.07508286724628
ABW,1989,,3.99162804604575,,,67.7709417889257,27.10837671557028
ABW,1990,,5.83668775158165,,,67.3901572175749,26.956062887029958
ABW,1991,,5.55555555555579,,,66.5614715296876,26.62458861187504
ABW,1992,,3.87337536996479,,,66.2097904128584,26.48391616514336
ABW,1993,,5.2155599603571,,,66.4795311763506,26.591812470540244
ABW,1994,,6.31107971270439,,,66.7592365705573,26.703694628222923
ABW,1995,,3.36139107320898,,,67.3628125082326,26.94512500329304
ABW,1996,,3.22528797213979,,,68.1793277439413,27.27173109757652
ABW,1997,,2.99994809778412,,,68.7965822714579,27.518632908583157
ABW,1998,,1.8694885361554,,,69.2546880408704,27.701875216348164
ABW,1999,,2.28037198258753,,,69.6044361437005,27.8417744574802
ABW,2000,,4.04402131190512,,,69.7746207533672,27.909848301346884
ABW,2001,,2.88360430316263,,,69.8178395437683,27.92713581750732
ABW,2002,,3.31524678585423,,,69.8922613087324,27.956904523492963
ABW,2003,,3.65636507938418,,,69.9913335499946,27.99653341999784
ABW,2004,,2.52912946932762,,,70.0812659246346,28.032506369853838
ABW,2005,,3.39778677828805,,,70.1082457815982,28.04329831263928
ABW,2006,,3.60802438784541,,,70.0432423932699,28.017296957307963
ABW,2007,,5.39256784475516,,,69.9343596964395,27.973743878575803
ABW,2008,,8.95598705177784,,,69.8030254231656,27.92121016926624
ABW,2009,,-2.13542872046937,,,69.6689236610772,27.867569464430883
ABW,2010,,2.07814071860786,,,69.7093798538659,27.88375194154636
ABW,2011,,4.31629742195203,,,69.9067151246274,27.96268604985096
ABW,2012,,0.627471992893372,,,69.9961184511146,27.99844738044584
ABW,2013,,-2.37206524252261,,,69.911025522268,27.964410208907204
ABW,2014,,0.421440918881214,,,69.6785895668577,27.87143582674308
ABW,2015,,0.474763597342641,,,69.3250915443276,27.730036617731045
ABW,2016,,-0.93119598707956,,,68.8920853714879,27.556834148595158
