year,COWcode,pol_cat_pitf,regime_imputed
1994,850,A/F,0
1995,850,A/F,0
1996,850,A/F,0
1997,850,A/F,0
1998,850,A/F,0
1999,850,D/P,0
2000,850,D/P,0
2001,850,D/P,0
2002,850,D/P,0
2003,850,D/P,0
2004,850,D/P,0
2005,850,D/P,0
2006,850,D/P,0
2007,850,D/P,0
2008,850,D/P,0
2009,850,D/P,0
2010,850,D/P,0
2011,850,D/P,0
2012,850,D/P,0
2013,850,D/P,0
2014,850,D/P,0
2015,850,D/P,0
2016,850,D/P,0
2017,850,D/P,0
2018,850,D/P,0
2019,850,D/P,1
2020,850,D/P,1
2021,850,D/P,1
2022,850,D/P,1
2023,850,D/P,1
2024,850,D/P,1
2025,850,D/P,1
2002,860,D/P,0
2003,860,D/P,0
2004,860,D/P,0
2005,860,D/P,0
2006,860,D/fact,0
2007,860,D/fact,0
2008,860,D/fact,0
2009,860,D/fact,0
2010,860,D/fact,0
2011,860,D/fact,0
2012,860,D/P,0
2013,860,D/P,0
2014,860,D/P,0
2015,860,D/P,0
2016,860,D/P,0
2017,860,D/P,0
2018,860,D/P,0
2019,860,D/P,1
2020,860,D/P,1
2021,860,D/P,1
2022,860,D/P,1
2023,860,D/P,1
2024,860,D/P,1
2025,860,D/P,1
1970,900,D/F,0
1971,900,D/F,0
1972,900,D/F,0
1973,900,D/F,0
1974,900,D/F,0
1975,900,D/F,0
1976,900,D/F,0
1977,900,D/F,0
1978,900,D/F,0
1979,900,D/F,0
1980,900,D/F,0
1981,900,D/F,0
1982,900,D/F,0
1983,900,D/F,0
1984,900,D/F,0
1985,900,D/F,0
1986,900,D/F,0
1987,900,D/F,0
1988,900,D/F,0
1989,900,D/F,0
1990,900,D/F,0
1991,900,D/F,0
1992,900,D/F,0
1993,900,D/F,0
1994,900,D/F,0
1995,900,D/F,0
1996,900,D/F,0
1997,900,D/F,0
1998,900,D/F,0
1999,900,D/F,0
2000,900,D/F,0
2001,900,D/F,0
2002,900,D/F,0
2003,900,D/F,0
2004,900,D/F,0
2005,900,D/F,0
2006,900,D/F,0
2007,900,D/F,0
2008,900,D/F,0
2009,900,D/F,0
2010,900,D/F,0
2011,900,D/F,0
2012,900,D/F,0
2013,900,D/F,0
2014,900,D/F,0
2015,900,D/F,0
2016,900,D/F,0
2017,900,D/F,0
2018,900,D/F,0
2019,900,D/F,1
2020,900,D/F,1
2021,900,D/F,1
2022,900,D/F,1
2023,900,D/F,1
2024,900,D/F,1
2025,900,D/F,1
1975,910,D/P,0
1976,910,D/P,0
1977,910,D/P,0
1978,910,D/P,0
1979,910,D/P,0
1980,910,D/P,0
1981,910,D/P,0
1982,910,D/P,0
1983,910,D/P,0
1984,910,D/P,0
1985,910,D/P,0
1986,910,D/P,0
1987,910,D/P,0
1988,910,D/P,0
1989,910,D/P,0
1990,910,D/P,0
1991,910,D/P,0
1992,910,D/P,0
1993,910,D/P,0
1994,910,D/P,0
1995,910,D/P,0
1996,910,D/P,0
1997,910,D/P,0
1998,910,D/P,0
1999,910,D/P,0
2000,910,D/P,0
2001,910,D/P,0
2002,910,D/P,0
2003,910,D/P,0
2004,910,D/P,0
2005,910,D/P,0
2006,910,D/P,0
2007,910,D/P,0
2008,910,D/P,0
2009,910,D/P,0
2010,910,D/P,0
2011,910,D/P,0
2012,910,D/P,0
2013,910,D/P,0
2014,910,D/P,0
2015,910,D/P,0
2016,910,D/P,0
2017,910,D/P,0
2018,910,D/P,0
2019,910,D/P,1
2020,910,D/P,1
2021,910,D/P,1
2022,910,D/P,1
2023,910,D/P,1
2024,910,D/P,1
2025,910,D/P,1
1970,920,D/F,0
1971,920,D/F,0
1972,920,D/F,0
1973,920,D/F,0
1974,920,D/F,0
1975,920,D/F,0
1976,920,D/F,0
1977,920,D/F,0
1978,920,D/F,0
1979,920,D/F,0
1980,920,D/F,0
1981,920,D/F,0
1982,920,D/F,0
1983,920,D/F,0
1984,920,D/F,0
1985,920,D/F,0
1986,920,D/F,0
1987,920,D/F,0
1988,920,D/F,0
1989,920,D/F,0
1990,920,D/F,0
1991,920,D/F,0
1992,920,D/F,0
1993,920,D/F,0
1994,920,D/F,0
1995,920,D/F,0
1996,920,D/F,0
1997,920,D/F,0
1998,920,D/F,0
1999,920,D/F,0
2000,920,D/F,0
2001,920,D/F,0
2002,920,D/F,0
2003,920,D/F,0
2004,920,D/F,0
2005,920,D/F,0
2006,920,D/F,0
2007,920,D/F,0
2008,920,D/F,0
2009,920,D/F,0
2010,920,D/F,0
2011,920,D/F,0
2012,920,D/F,0
2013,920,D/F,0
2014,920,D/F,0
2015,920,D/F,0
2016,920,D/F,0
2017,920,D/F,0
2018,920,D/F,0
2019,920,D/F,1
2020,920,D/F,1
2021,920,D/F,1
2022,920,D/F,1
2023,920,D/F,1
2024,920,D/F,1
2025,920,D/F,1
1978,940,D/P,0
1979,940,D/P,0
1980,940,D/P,0
1981,940,D/P,0
1982,940,D/P,0
1983,940,D/P,0
1984,940,D/P,0
1985,940,D/P,0
1986,940,D/P,0
1987,940,D/P,0
1988,940,D/P,0
1989,940,D/P,0
1990,940,D/fact,0
1991,940,D/fact,0
1992,940,D/fact,0
1993,940,D/fact,0
1994,940,D/fact,0
1995,940,D/fact,0
1996,940,D/fact,0
1997,940,D/fact,0
1998,940,D/fact,0
1999,940,D/fact,0
2000,940,transition,0
2001,940,transition,0
2002,940,transition,0
2003,940,transition,0
2004,940,D/P,0
2005,940,D/P,0
2006,940,D/P,0
2007,940,D/P,0
2008,940,D/P,0
2009,940,D/P,0
2010,940,D/P,0
2011,940,D/P,0
2012,940,D/P,0
2013,940,D/P,0
2014,940,D/P,0
2015,940,D/P,0
2016,940,D/P,0
2017,940,D/P,0
2018,940,D/P,0
2019,940,D/P,1
2020,940,D/P,1
2021,940,D/P,1
2022,940,D/P,1
2023,940,D/P,1
2024,940,D/P,1
2025,940,D/P,1
1970,950,D/P,0
1971,950,D/P,0
1972,950,D/P,0
1973,950,D/P,0
1974,950,D/P,0
1975,950,D/P,0
1976,950,D/P,0
1977,950,D/P,0
1978,950,D/P,0
1979,950,D/P,0
1980,950,D/P,0
1981,950,D/P,0
1982,950,D/P,0
1983,950,D/P,0
1984,950,D/P,0
1985,950,D/P,0
1986,950,D/P,0
1987,950,A/P,0
1988,950,A/P,0
1989,950,A/P,0
1990,950,D/fact,0
1991,950,D/fact,0
1992,950,D/fact,0
1993,950,D/fact,0
1994,950,D/fact,0
1995,950,D/fact,0
1996,950,D/fact,0
1997,950,D/fact,0
1998,950,D/P,0
1999,950,D/P,0
2000,950,transition,0
2001,950,D/fact,0
2002,950,D/fact,0
2003,950,D/fact,0
2004,950,D/P,0
2005,950,D/P,0
2006,950,A/F,0
2007,950,A/F,0
2008,950,A/F,0
2009,950,A/F,0
2010,950,A/F,0
2011,950,A/F,0
2012,950,A/F,0
2013,950,A/F,0
2014,950,A/P,0
2015,950,A/P,0
2016,950,A/P,0
2017,950,A/P,0
2018,950,A/P,0
2019,950,A/P,1
2020,950,A/P,1
2021,950,A/P,1
2022,950,A/P,1
2023,950,A/P,1
2024,950,A/P,1
2025,950,A/P,1
