country_text_id,year,years_since_break_poly,years_since_break_libdem,break_in_last_3yr_poly,break_in_last_3yr_libdem
AFG,1972,48,49,0,0
AFG,1973,49,50,0,0
AFG,1974,50,51,0,0
AFG,1975,51,52,0,0
AFG,1976,52,53,0,0
AFG,1977,53,54,0,0
AFG,1978,54,55,0,0
AFG,1979,55,56,0,0
AFG,1980,56,57,0,0
AFG,1981,57,58,0,0
AFG,1982,58,59,0,0
AFG,1983,59,60,0,0
AFG,1984,60,61,0,0
AFG,1985,61,62,0,0
AFG,1986,62,63,0,0
AFG,1987,63,64,0,0
AFG,1988,64,65,0,0
AFG,1989,65,66,0,0
AFG,1990,66,67,0,0
AFG,1991,67,68,0,0
AFG,1992,68,69,0,0
AFG,1993,69,70,0,0
AFG,1994,70,71,0,0
AFG,1995,71,72,0,0
AFG,1996,72,73,0,0
AFG,1997,73,74,0,0
AFG,1998,74,75,0,0
AFG,1999,75,76,0,0
AFG,2000,76,77,0,0
AFG,2001,77,78,0,0
AFG,2002,0,79,1,0
AFG,2003,1,80,1,0
AFG,2004,2,81,1,0
AFG,2005,3,82,0,0
AFG,2006,4,0,0,1
AFG,2007,5,1,0,1
AFG,2008,6,2,0,1
AFG,2009,7,3,0,0
AFG,2010,8,4,0,0
AFG,2011,9,5,0,0
AFG,2012,10,6,0,0
AFG,2013,11,7,0,0
AFG,2014,12,8,0,0
AFG,2015,13,9,0,0
AFG,2016,14,10,0,0
AFG,2017,15,11,0,0
AFG,2018,16,12,0,0
AFG,2019,17,13,0,0
AFG,2020,18,14,0,0
AFG,2021,0,0,1,1
AFG,2022,1,1,1,1
AFG,2023,2,2,1,1
AFG,2024,3,3,0,0
AFG,2025,4,4,0,0
AGO,1900,99,99,0,0
AGO,1901,99,99,0,0
AGO,1902,99,99,0,0
AGO,1903,99,99,0,0
AGO,1904,99,99,0,0
AGO,1905,99,99,0,0
AGO,1906,99,99,0,0
AGO,1907,99,99,0,0
AGO,1908,99,99,0,0
AGO,1909,99,99,0,0
AGO,1910,99,99,0,0
AGO,1911,99,99,0,0
AGO,1912,99,99,0,0
AGO,1913,99,99,0,0
AGO,1914,99,99,0,0
AGO,1915,99,99,0,0
AGO,1916,99,99,0,0
AGO,1917,99,99,0,0
AGO,1918,99,99,0,0
AGO,1919,99,99,0,0
AGO,1920,99,99,0,0
AGO,1921,99,99,0,0
AGO,1922,99,99,0,0
AGO,1923,99,99,0,0
AGO,1924,99,99,0,0
AGO,1925,99,99,0,0
AGO,1926,99,99,0,0
AGO,1927,99,99,0,0
AGO,1928,99,99,0,0
AGO,1929,99,99,0,0
AGO,1930,99,99,0,0
AGO,1931,99,99,0,0
AGO,1932,99,99,0,0
AGO,1933,99,99,0,0
AGO,1934,99,99,0,0
AGO,1935,99,99,0,0
AGO,1936,99,99,0,0
AGO,1937,99,99,0,0
AGO,1938,99,99,0,0
AGO,1939,99,99,0,0
AGO,1940,99,99,0,0
AGO,1941,99,99,0,0
AGO,1942,99,99,0,0
AGO,1943,99,99,0,0
AGO,1944,99,99,0,0
AGO,1945,99,99,0,0
AGO,1946,99,99,0,0
AGO,1947,99,99,0,0
AGO,1948,99,99,0,0
AGO,1949,99,99,0,0
AGO,1950,99,99,0,0
AGO,1951,99,99,0,0
AGO,1952,99,99,0,0
AGO,1953,99,99,0,0
AGO,1954,99,99,0,0
AGO,1955,99,99,0,0
AGO,1956,99,99,0,0
AGO,1957,99,99,0,0
AGO,1958,99,99,0,0
AGO,1959,99,99,0,0
AGO,1960,99,99,0,0
AGO,1961,99,99,0,0
AGO,1962,99,99,0,0
AGO,1963,99,99,0,0
AGO,1964,99,99,0,0
AGO,1965,99,99,0,0
AGO,1966,99,99,0,0
AGO,1967,99,99,0,0
AGO,1968,99,99,0,0
AGO,1969,99,99,0,0
AGO,1970,99,99,0,0
AGO,1971,99,99,0,0
AGO,1972,99,99,0,0
AGO,1973,99,99,0,0
AGO,1974,99,99,0,0
AGO,1975,0,99,1,0
AGO,1976,1,99,1,0
AGO,1977,2,99,1,0
AGO,1978,3,99,0,0
AGO,1979,4,99,0,0
AGO,1980,5,99,0,0
AGO,1981,6,99,0,0
AGO,1982,7,99,0,0
AGO,1983,8,99,0,0
AGO,1984,9,99,0,0
AGO,1985,10,99,0,0
AGO,1986,11,99,0,0
AGO,1987,12,99,0,0
AGO,1988,13,99,0,0
AGO,1989,14,99,0,0
AGO,1990,15,99,0,0
AGO,1991,16,99,0,0
AGO,1992,0,99,1,0
AGO,1993,1,99,1,0
AGO,1994,2,99,1,0
AGO,1995,3,99,0,0
AGO,1996,4,99,0,0
AGO,1997,5,99,0,0
AGO,1998,6,99,0,0
AGO,1999,7,99,0,0
AGO,2000,8,99,0,0
AGO,2001,9,99,0,0
AGO,2002,10,99,0,0
AGO,2003,11,0,0,1
AGO,2004,12,1,0,1
AGO,2005,13,2,0,1
AGO,2006,14,3,0,0
AGO,2007,15,4,0,0
AGO,2008,16,5,0,0
AGO,2009,17,6,0,0
AGO,2010,18,7,0,0
AGO,2011,0,8,1,0
AGO,2012,1,9,1,0
AGO,2013,2,10,1,0
AGO,2014,3,11,0,0
AGO,2015,4,12,0,0
AGO,2016,5,13,0,0
AGO,2017,6,14,0,0
AGO,2018,7,15,0,0
AGO,2019,8,16,0,0
AGO,2020,9,17,0,0
AGO,2021,10,18,0,0
AGO,2022,11,19,0,0
AGO,2023,12,20,0,0
AGO,2024,13,21,0,0
