country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_truedom_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_truedom_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_truedom_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_truedom_3,nscm_resid_full_4,nscm_resid_domestic_4,nscm_resid_truedom_4
CHL,1990,-0.006509966,-0.032697868,-0.00081490295,-0.9911209,-0.94833755,-0.99557,0.996018,0.97950757,0.9947697,0.0016130754,0.001535395,0.0016153768,-2.3570632e-07,-7.4916693e-06,-1.8958411e-07
CIV,1990,-1.7543161e-07,-9.085202e-05,-1.6052903e-07,-0.0016144653,-0.03411918,-0.005032703,-0.051398635,0.0027202964,-0.046928048,0.053020824,0.031649407,0.051973656,-7.593548e-06,-0.0001596812,-1.2781711e-05
CMR,1990,-7.065099e-09,-3.485558e-06,-5.6973126e-10,-0.00013767321,-0.005095015,-2.7309834e-05,-0.8116123,-0.8467486,-0.7292365,0.8117686,0.851933,0.7293263,-1.8641153e-05,-8.590515e-05,-6.252137e-05
COD,1990,-1.2272164e-10,-4.352213e-07,-4.6838982e-12,-5.6605764e-08,-1.7611366e-05,-2.114398e-08,-0.0026467633,-0.08368811,-0.018435147,0.0044041276,0.08924979,0.018828392,-0.0017573705,-0.0055435686,-0.00039326958
COL,1990,-1.0220182e-05,-0.0037130518,-3.4130487e-06,-0.17010555,-0.3167097,-0.35709643,0.17071778,0.32471022,0.3573769,-0.00060149777,-0.004262151,-0.00027683965,-5.5051333e-07,-2.5324034e-05,-2.7435226e-07
CRI,1990,-0.15374497,-0.1595129,-0.18409531,0.15391356,0.1604706,0.1842221,-0.00016792721,-0.0009529854,-0.00012607402,-5.127415e-07,-3.0381725e-06,-2.505246e-07,-2.1223408e-07,-1.6674634e-06,-4.3604518e-07
CYP,1990,-0.027744414,-0.18423396,-0.0039010535,0.27923936,0.42477638,0.03604579,-0.25042155,-0.23758857,-0.032102678,-0.0009754426,-0.0025464508,-3.767667e-05,-9.793318e-05,-0.0004073198,-4.3703385e-06
DEU,1990,1.9431114e-05,0.0024863482,0.00010943413,-1.8602397e-05,-0.0024466286,-0.00010946056,-4.0694744e-07,-3.630694e-05,-1.8849843e-08,-4.892237e-08,-4.1110954e-07,-1.652002e-09,-4.5197692e-07,-3.073519e-06,-3.922835e-08
DJI,1990,-5.6784083e-10,-1.2445506e-06,-1.1331872e-11,-2.0819908e-08,-5.427085e-06,-2.36848e-09,-0.0008320005,-0.030992331,-0.005062612,0.0120642185,0.05533862,0.01734978,-0.011232193,-0.024339683,-0.0122871315
DNK,1990,2.026558e-06,0.00034725666,5.2452087e-06,-1.3551277e-06,-0.0003185475,-5.131247e-06,-6.0565796e-08,-1.1800176e-05,-3.1529301e-09,-2.7385035e-08,-6.48166e-07,-4.3369957e-09,-4.4629655e-07,-1.625495e-05,-7.0214185e-08
