feature,coefficient
election_vulnerability_x_post2015,0.0
v2smgovfilprc_x_post2015,0.0
v2smgovsmmon_x_post2015,0.0
election_vulnerability_detrended,0.0
libdem_c22_15,0.0
mil_zscore_detrended,0.0
csd_x_network_detrended,0.0
mil_zscore,0.0
v2smgovfilprc_detrended,0.0
v2smpardom_detrended,0.0
v2cademmob_detrended,0.0
v2cagenmob_detrended,0.0
mil_zscore_lag2,0.0
mil_zscore_lag1,0.0
election_vulnerability_delta2,0.0
election_vulnerability_lag2,0.0
libdem_c22_16,0.0
libdem_c22_18,0.0
libdem_c22_19,0.0
libdem_c22_21,0.0
protest_count_zscore,0.0
conflict_count_zscore,0.0
conflict_count_zscore_lag1,0.0
repression_count_zscore_lag1,0.0
csd_index_lag1,0.0
csd_index_lag2,0.0
mv_csd_index_lag1,0.0
mv_csd_index_lag2,0.0
mv_csd_index_delta1,0.0
mv_csd_index_delta2,0.0
election_vulnerability_lag1,0.0
csd_index,0.0
